ID,Local, Visitor, Date, 1., 2.
San Miguel Beermen,Rain Or Shine,2019-08-02T14:24:09.618872+02:00,2.5,1.45
Mandurah Magic Women,Rockingham Flames Women,2019-08-02T14:24:09.626851+02:00,11.0,1.005
Lakeside Lightning Women,Kalamunda Eastern Suns Women,2019-08-02T14:24:09.634829+02:00,1.2,4.0
Toowoomba Mountaineers Women,Southern District Spartans Women,2019-08-02T14:24:09.652818+02:00,,
Tianjin University of finance and economic Women,CSU Women,2019-08-02T14:24:09.662792+02:00,1.61,2.15
Henan Phoenix Women,Tianjin Golden Lions Women,2019-08-02T00:00:00+02:00,1.28,3.4
Rusia,Nigeria,2019-08-31T14:00:00+02:00,1.08,7.0
Polonia,Venezuela,2019-08-31T14:00:00+02:00,1.08,7.0
Argentina,Korea Republic,2019-08-31T14:00:00+02:00,,16.0
España,Túnez,2019-08-31T14:00:00+02:00,,50.0
Irán,Puerto Rico,2019-08-31T14:00:00+02:00,3.8,1.24
Angola,Serbia,2019-08-31T14:00:00+02:00,50.0,
Philippines,Italia,2019-08-31T14:00:00+02:00,15.0,1.002
Cote d'Ivoire,China,2019-08-31T14:00:00+02:00,9.5,1.04
Chequia,EEUU,2019-09-01T14:00:00+02:00,50.0,
Turquía,Japón,2019-09-01T14:00:00+02:00,,15.0
Grecia,Montenegro,2019-09-01T14:00:00+02:00,1.08,7.0
Nueva Zelanda,Brasil,2019-09-01T14:00:00+02:00,8.0,1.06
Dominican Republic,Jordan,2019-09-01T14:00:00+02:00,1.08,7.0
Francia,Alemania,2019-09-01T14:00:00+02:00,1.12,6.0
Canadá,Australia,2019-09-01T14:00:00+02:00,2.9,1.38
Senegal,Lithuania,2019-09-01T14:00:00+02:00,16.0,
BC Khimki,Maccabi Tel Aviv,2019-10-03T19:00:00+02:00,1.52,2.45
FC Bayern Munchen,Olimpia Milano,2019-10-03T20:30:00+02:00,2.45,1.52
Lyon-Villeurbanne,Olympiacos,2019-10-03T20:45:00+02:00,3.0,1.36
Real Madrid,Fenerbahce,2019-10-03T21:00:00+02:00,1.52,2.45
BC Zalgiris Kaunas,Saski Baskonia,2019-10-04T19:00:00+02:00,1.52,2.45
Anadolu Efes,FC Barcelona,2019-10-04T19:30:00+02:00,1.9,1.84
ALBA Berlin,Zenit San Petesburgo,2019-10-04T20:00:00+02:00,1.45,2.65
Panathinaikos,Crvena Zvezda Belgrade,2019-10-04T20:30:00+02:00,1.13,5.5
Valencia BC,CSKA Moscú,2019-10-04T21:00:00+02:00,3.3,1.32
