ID,Local, Visitor, Date, 1., 2.
1,Golden State Warriors,Toronto Raptors,  31 May. 03:00  ,2.00,1.90
2,Brose,Rasta,  28 May. 20:30  ,1.31,3.65
3,Instituto de Córdoba,Regatas,  28 May. 02:00  ,1.24,4.333
4,San Isidro,Hindú,  28 May. 02:30  ,1.44,2.66
5,Kapfenberg Bulls,Swans Gmunden,  29 May. 19:00  ,1.40,3.15
6,Unifacisa,São Paulo,  29 May. 00:30  ,1.60,2.25
7,Balkan,Levski,  18:00  ,1.81,2.07
8,Kangoeroes Mechelen,Port of Antwerp Giants,  20:30  ,7.30,1.091
9,Cedevita,Cibona Zagreb,  28 May. 20:00  ,1.25,4.333
10,Estrasburgo,Dijon,  20:00  ,1.47,2.81
11,Nanterre,Pau-Lacq-Orthez,  28 May. 20:45  ,1.31,3.65
12,Peristeri,Panathinaikos,  29 May. 18:00  ,7.10,1.123
13,Eagle,Able Hon Friends,  28 May. 13:00  ,2.18,1.64
14,South China,HKPA,  28 May. 14:40  ,1.85,1.85
15,Kwan On,On Ching,  28 May. 13:10  ,2.77,1.41
16,Well Born,Police,  28 May. 14:50  ,1.85,1.85
17,Maccabi Rishon LeZion ,Hapoel Jolón,  18:00  ,1.68,2.27
18,Ironi Nes Ziona,Hapoel Eilat,  28 May. 18:30  ,1.78,2.11
19,Brindisi Sub-20,Mola Sub-20,  20:00  ,1.24,3.80
20,Virtus Cassino Sub-20,Pallacanestro Sora Sub-20,  20:00  ,1.179,4.50
21,Settimo Torinese Sub-20,Alessandria Sub-20,  20:30  ,1.082,19.75
22,Umana Venecia,Trento,  20:45  ,1.38,3.20
23,Olimpia Milán,Sácer,  29 May. 21:45  ,1.27,4.10
24,Orlandina,Bergamo,  21:00  ,1.28,3.92
25,Orzinuovi,Tigers Forlì,  28 May. 20:30  ,1.24,3.80
26,Cestistica San Severo,Citysightseeing Palestrina,  28 May. 21:00  ,1.06,7.90
27,Khimki,UNICS,  19:00  ,1.34,3.52
28,Neptunas,Lietkabelis,  17:50  ,1.53,2.61
29,Zalgiris,Rytas Vilnius,  28 May. 17:50  ,1.152,5.95
30,Police,USFAS,  19:00  ,1.285,3.42
31,Groninga,Landstede Zwolle,  28 May. 19:30  ,1.44,2.92
32,Doral Nysa Klodzko,Zubry Bialystok,  19:30  ,2.09,1.69
33,Leones de Ponce,Atléticos de San Germán,  28 May. 02:00  ,1.41,2.77
34,Arges Pitesti,Timisoara,  18:00  ,1.38,2.90
35,Dinamo Bucarest,Steaua CSM,  19:00  ,5.60,1.123
36,Galatasaray,Gaziantep BB,  28 May. 19:45  ,1.35,3.38
37,Konyaspor,Ormanspor,  28 May. 15:00  ,1.35,3.04
38,Kirolbet Baskonia,Tecnyconta Zaragoza,  30 May. 20:15  ,1.17,5.65
39,Valencia Basket,Unicaja,  31 May. 19:15  ,1.31,3.74
40,Mornar Bar,Buducnost,  19:00  ,2.73,1.42
41,Toros de Aragua,Guaros de Lara,  28 May. 23:00  ,4.50,1.181
42,Llaneros de Guárico,Cocodrilos de Caracas,  29 May. 01:00  ,5.00,1.151
